Date,Pump price in pence/litre
9/6/2003,74.59
16/06/2003,74.47
23/06/2003,74.42
30/06/2003,74.35
7/7/2003,74.28
14/07/2003,74.21
21/07/2003,75.07
28/07/2003,75.1
4/8/2003,75.12
11/8/2003,75.44
18/08/2003,75.81
26/08/2003,76.05
1/9/2003,76.13
8/9/2003,76.23
15/09/2003,76.2
22/09/2003,76.15
29/09/2003,76.08
6/10/2003,76.43
13/10/2003,75.9
20/10/2003,76.05
27/10/2003,76
3/11/2003,76
10/11/2003,75.94
17/11/2003,75.93
24/11/2003,76.02
1/12/2003,76
8/12/2003,75.97
15/12/2003,75.96
22/12/2003,75.92
29/12/2003,75.94
5/1/2004,75.88
12/1/2004,75.9
19/01/2004,76.36
26/01/2004,76.44
2/2/2004,76.48
9/2/2004,76.5
16/02/2004,76.44
23/02/2004,76.38
1/3/2004,76.32
8/3/2004,76.73
15/03/2004,77.39
22/03/2004,77.44
29/03/2004,77.59
5/4/2004,77.86
12/4/2004,77.88
19/04/2004,78.04
26/04/2004,78.4
4/5/2004,79.28
10/5/2004,80.3
17/05/2004,81.49
24/05/2004,82.13
31/05/2004,82.35
7/6/2004,82.44
14/06/2004,81.54
21/06/2004,81.04
28/06/2004,80.41
5/7/2004,79.87
12/7/2004,80.34
19/07/2004,80.84
26/07/2004,80.87
2/8/2004,80.86
9/8/2004,81.18
16/08/2004,81.25
23/08/2004,81.51
31/08/2004,81.53
6/9/2004,81.37
13/09/2004,81.31
20/09/2004,81.28
27/09/2004,81.63
4/10/2004,82.05
11/10/2004,83.11
18/10/2004,83.35
25/10/2004,83.94
1/11/2004,84.27
8/11/2004,84.34
15/11/2004,84.26
22/11/2004,81.46
29/11/2004,84.17
6/12/2004,84.06
13/12/2004,82.73
20/12/2004,81.46
27/12/2004,81.2
3/1/2005,81.17
10/1/2005,79.84
17/01/2005,78.93
24/01/2005,78.93
31/01/2005,79.54
7/2/2005,79.84
14/02/2005,80.03
21/02/2005,80.15
28/02/2005,80.45
7/3/2005,81.16
14/03/2005,81.64
21/03/2005,82.7
28/03/2005,83.4
4/4/2005,83.91
11/4/2005,85.61
18/04/2005,85.63
25/04/2005,85.51
2/5/2005,85.44
9/5/2005,85.36
16/05/2005,85.27
23/05/2005,84.77
30/05/2005,84.18
6/6/2005,84.01
13/06/2005,84.99
20/06/2005,85.52
27/06/2005,86.73
4/7/2005,87.49
11/7/2005,87.73
18/07/2005,88.55
25/07/2005,89
1/8/2005,89.25
8/8/2005,89.67
15/08/2005,90.56
22/08/2005,90.77
29/08/2005,91.42
5/9/2005,94.37
12/9/2005,95.07
19/09/2005,94.41
26/09/2005,93.33
3/10/2005,93.51
10/10/2005,94.25
17/10/2005,94.14
24/10/2005,93.47
31/10/2005,92.79
7/11/2005,92.47
14/11/2005,90.53
21/11/2005,88.61
28/11/2005,87.35
5/12/2005,87.35
12/12/2005,87.2
19/12/2005,87.56
26/12/2005,87.88
2/1/2006,88.03
9/1/2006,88.56
16/01/2006,89.01
23/01/2006,89.55
30/01/2006,89.88
6/2/2006,89.73
13/02/2006,89.65
20/02/2006,89.6
27/02/2006,89.51
6/3/2006,89.37
13/03/2006,89.55
20/03/2006,90.19
27/03/2006,91.16
3/4/2006,91.78
10/4/2006,92.77
18/04/2006,94.23
24/04/2006,95.35
1/5/2006,96.13
8/5/2006,96.46
15/05/2006,96.39
22/05/2006,96.1
29/05/2006,95.36
5/6/2006,95.24
12/6/2006,95.49
19/06/2006,95.44
26/06/2006,94.97
3/7/2006,95.27
10/7/2006,95.69
17/07/2006,96.88
24/07/2006,97.78
31/07/2006,97.83
7/8/2006,98.05
14/08/2006,97.82
21/08/2006,95.74
28/08/2006,94.4
4/9/2006,92.88
11/9/2006,91.48
18/09/2006,89.78
25/09/2006,88.2
2/10/2006,86.95
9/10/2006,86.6
16/10/2006,85.91
23/10/2006,85.74
30/10/2006,85.6
6/11/2006,85.54
13/11/2006,85.49
20/11/2006,85.45
27/11/2006,85.47
4/12/2006,85.46
11/12/2006,87.44
18/12/2006,87.7
25/12/2006,87.9
1/1/2007,87.85
8/1/2007,87.66
15/01/2007,87.1
22/01/2007,86.28
29/01/2007,85.66
5/2/2007,85.62
12/2/2007,86.12
19/02/2007,86.6
26/02/2007,87.07
5/3/2007,87.74
12/3/2007,88.48
19/03/2007,88.93
26/03/2007,89.32
2/4/2007,90.47
10/4/2007,91.18
16/04/2007,91.99
23/04/2007,92.93
30/04/2007,93.45
7/5/2007,94.43
14/05/2007,95.07
21/05/2007,95.71
28/05/2007,96.16
4/6/2007,96.51
11/6/2007,96.61
18/06/2007,96.56
25/06/2007,96.54
2/7/2007,96.36
9/7/2007,96.2
16/07/2007,96.21
23/07/2007,96.23
30/07/2007,96.2
6/8/2007,96.15
13/08/2007,96
20/08/2007,95.31
27/08/2007,95
3/9/2007,94.8
10/9/2007,94.63
17/09/2007,94.65
24/09/2007,94.91
1/10/2007,96.39
8/10/2007,97.14
15/10/2007,97.19
22/10/2007,97.81
29/10/2007,98.26
5/11/2007,99.36
12/11/2007,100.74
19/11/2007,101.47
26/11/2007,102.13
3/12/2007,102.58
10/12/2007,102.67
17/12/2007,102.6
24/12/2007,102.53
31/12/2007,102.66
7/1/2008,103.37
14/01/2008,103.82
21/01/2008,104.22
28/01/2008,104.22
4/2/2008,104.03
11/2/2008,103.67
18/02/2008,103.7
25/02/2008,104.65
3/3/2008,105.24
10/3/2008,105.96
17/03/2008,106.41
24/03/2008,106.9
31/03/2008,107.1
7/4/2008,107.24
14/04/2008,107.61
21/04/2008,108.57
28/04/2008,109.5
5/5/2008,110.3
12/5/2008,111.04
19/05/2008,112.96
26/05/2008,114.79
2/6/2008,116.03
9/6/2008,116.86
16/06/2008,117.69
23/06/2008,118.44
30/06/2008,118.84
7/7/2008,119.28
14/07/2008,119.44
21/07/2008,119.4
28/07/2008,116.91
4/8/2008,115.06
11/8/2008,113.92
18/08/2008,112.22
25/08/2008,112.02
1/9/2008,112.2
8/9/2008,112.55
15/09/2008,112.51
22/09/2008,110.81
29/09/2008,109.85
6/10/2008,109.45
13/10/2008,107.04
20/10/2008,102.66
27/10/2008,98.62
3/11/2008,97.4
10/11/2008,95.89
17/11/2008,94.83
24/11/2008,92.79
1/12/2008,91.47
8/12/2008,90.16
15/12/2008,89.07
22/12/2008,88.01
29/12/2008,87.34
5/1/2009,85.42
12/1/2009,86.02
19/01/2009,86.19
26/01/2009,87.42
2/2/2009,88.16
9/2/2009,89.28
16/02/2009,90.12
23/02/2009,90.33
2/3/2009,90.28
9/3/2009,90.15
16/03/2009,90.16
23/03/2009,90.16
30/03/2009,91.35
6/4/2009,93.72
13/04/2009,94.11
20/04/2009,94.62
27/04/2009,95.13
4/5/2009,95.6
11/5/2009,96.59
18/05/2009,97.54
25/05/2009,98.9
1/6/2009,99.39
8/6/2009,100.59
15/06/2009,101.98
22/06/2009,102.81
29/06/2009,103.3
6/7/2009,103.57
13/07/2009,102.78
20/07/2009,102.22
27/07/2009,102.17
3/8/2009,102.36
10/8/2009,103.01
17/08/2009,103.96
24/08/2009,104.7
31/08/2009,105.11
7/9/2009,106.85
14/09/2009,106.43
21/09/2009,105.96
28/09/2009,105.44
5/10/2009,104.87
12/10/2009,104.71
19/10/2009,105.08
26/10/2009,106.76
2/11/2009,107.43
9/11/2009,108.1
16/11/2009,108.48
23/11/2009,108.73
30/11/2009,108.79
7/12/2009,108.64
14/12/2009,108.5
21/12/2009,107.47
